"Neue Gebäude mit Wohnungen 1980 - 2002; ohne An-, Auf-, Umbautätigkeit (Wohnbaustatistik)"
"Werte: Anzahl Gebäude"
"Schicht: "
"Felder: Zeit und Bewilligung bzw. Fertigstellung <2> "
"Filter: "

"Zeit";"Bewilligung bzw. Fertigstellung <2>";
"1980";"Fertigstellung";"37.653";
"1981";"Fertigstellung";"23.852";
"1982";"Fertigstellung";"20.475";
"1983";"Fertigstellung";"19.260";
"1984";"Fertigstellung";"19.230";
"1985";"Fertigstellung";"19.349";
"1986";"Fertigstellung";"18.326";
"1987";"Fertigstellung";"18.310";
"1988";"Fertigstellung";"17.937";
"1989";"Fertigstellung";"17.767";
"1990";"Fertigstellung";"18.542";
"1991";"Fertigstellung";"19.451";
"1992";"Fertigstellung";"18.408";
"1993";"Fertigstellung";"18.316";
"1994";"Fertigstellung";"19.351";
"1995";"Fertigstellung";"20.429";
"1996";"Fertigstellung";"20.933";
"1997";"Fertigstellung";"21.035";
"1998";"Fertigstellung";"21.621";
"1999";"Fertigstellung";"21.613";
"2000";"Fertigstellung";"21.056";
"2001";"Fertigstellung";"20.027";
"2002";"Fertigstellung";"17.957";

"Footnotes"





